,Topic,Platform,Name,Description,link,Unnamed: 5
10,Новости,YT,Саммит в Женеве: Владимир Путин подводит итоги переговоров с Джо Байденом / Пресс-конференция — LIVE,"Прямая трансляция. Президент России Владимир Путин проводит пресс-конференцию по итогам переговоров с американским лидером Джо Байденом в Женеве.

#ВладимирПутин #ДжоБайден #встречаПутинаиБайдена

Подписывайтесь на RT Russian:

Telegram — https://t.me/rt_russian
YouTube — http://www.youtube.com/subscription_c... 
VK — http://vk.com/rt_russian
Facebook — http://www.facebook.com/RTRussian
Twitter — http://twitter.com/RT_russian
OK — http://ok.ru/rtrussian
Instagram — https://www.instagram.com/rtrussian
TikTok — https://www.tiktok.com/@russian_rt
",,
11,Новости,YT,Что говорили на саммитах G7 и НАТО о России и встрече Байдена с Путиным. DW Новости (14.06.2021),"В Брюсселе стартовал саммит НАТО. Первый - после президентства Трампа и с Джо Байденом в должности президента США. Накануне закончился саммит G7, где Байден также дебютировал в своей новой роли. Одной из самых важных тем на переговорах стали отношения с Россией и Китаем. Их будущее участники саммитов обсудили накануне встречи Джо Байдена с Владимиром Путиным, которая состоится 16 июня.
Сегодня в выпуске:
00:00 - DW Новости с Маргаритой Кальц
01:29 - Старт саммита НАТО: первая встреча альянса с Байденом в роли президента США
06:26 - Итоги саммита G7: какое место заняло обсуждение отношений с Китаем и Россией
09:03 - Возможный преемник Ангелы Меркель на посту канцлера Германии о том, каким ему видится будущее отношений с США и Россией 
13:51 - Светлана Тихановская, Татьяна Хомич и Николай Халезин в гостях у DW
17:43 - Глобал Медиа Форум, проводимый Дойче Велле в Бонне
#НАТО #Байден #Путин
--------------------------------
Больше новостей на нашем сайте http://www.dw.com/russian
в Facebook https://www.facebook.com/DWrussian
Twitter https://twitter.com/dw_russian
и Telegram https://t.me/dwglavnoe
",,
12,Новости,YT,Байден — Путин: итоги саммита в спецэфире Владимира Милова,"Владимир Милов подводит итоги саммита президентов США и России Джо Байдена и Владимира Путина, который прошел сегодня в Женеве, вместе с экспертами в области политики и экономики, а также с экс-заместителями госсекретаря США и бывшими послами США в России.

Станьте нашим спонсором: https://youtube.com/channel/UCgxTPTFb...

Донаты со стикерами в прямом эфире: http://donate.stream/navlive
Новая функция для спонсоров канала — стикеры в прямом эфире: https://friends.navalny.live

Ведущий — Владимир Милов https://twitter.com/v_milov
Канал Владимира Милова: http://youtube.com/c/ВладимирМиловУруру 
Сайт Владимира Милова: http://milov.org
Инстаграм Владимира Милова: https://www.instagram.com/milov_ru

Подписывайтесь на «Навальный LIVE» в соцсетях:
Твиттер: https://twitter.com/navalnylive
Инстаграм: https://www.instagram.com/navalny.live
Фейсбук: https://www.facebook.com/navalnylive
Телеграм: https://t.me/navalnylivechannel

Гости эфира: 
00:00 В эфире Владимир Милов
07:18 Дэниэл Фрид
26:00 Константин Сонин
40:04 Дэниел Трейсман
1:08:32 Алина Полякова 
1:17:26 Александр Вершбоу
1:30:18 Андрюс Кубилюс
1:45:08 Дэвид Крамер
2:04:41 Майкл Макфол
2:22:30 Карина Орлова
",,
13,Новости,YT,"ХОВАНСКИЙ, ЛИЦОМ В ПОЛ / КОМУ ВЫГОДЕН АРЕСТ БЛОГЕРА?","Николай Соболев об аресте Юрия Хованского. За что арестовали блогера? Сколько лет светит ""гангстеру"" за скандальную песню? 
Причины задержания: политические игры, запугивание блогеров или личный приказ президента? Давайте разберёмся. 

INSTAGRAM: https://www.instagram.com/sobolevv/ 
Рекламные вопросы: sobolev@wildjam.ru 

Все размещенные в видеоролике материалы были использованы исключительно в новостных и критических целях.
",,
14,Новости,YT,Задержание Хованского: что известно о деле скандального блогера,"Блогер Юрий Хованский был задержан за исполнение песни, в которой содержались публичные призывы к осуществлению террористической деятельности, сообщила пресс-служба Следственного комитета. Уголовное дело было возбуждено по ч. 2 ст. 205.2 Уголовного кодекса (публичные призывы к осуществлению террористической деятельности, публичное оправдание терроризма или пропаганда терроризма).

Зарегистрируйтесь по ссылке и получите пробную подписку на Дождь на месяц бесплатно. Подписка дает вам доступ ко всем нашим материалам, которых нет на YouTube, и архиву — https://tvrain.ru/s/KDZ/

Теперь с годовой подпиской на Дождь вы получите 90 дней Яндекс Плюс в подарок. Смотрите фильмы на КиноПоиск HD, слушайте Музыку, заказывайте с бесплатной доставкой на Маркете и получайте кешбэк баллами.

Подписаться на Дождь и получить Яндекс Плюс → https://tvrain.ru/s/Kw7/

Поддержите нашу работу и станьте спонсором канала в ютубе: https://www.youtube.com/channel/UCdub...


Подписывайтесь на Дождь - https://www.youtube.com/user/tvrainru​

Официальный сайт Дождя - http://tvrain.ru

Facebook - https://www.facebook.com/tvrain​

Twitter - https://twitter.com/tvrain​

Telegram - https://t.me/tvrain​

Instagram - https://www.instagram.com/tvrain

ВКонтакте - https://vk.com/tvrain​

Одноклассники - https://ok.ru/tvrain",,
15,Новости,YT,Задержание Хованского: В Петербурге задержали блогера Хованского по делу о пропаганде терроризма,"Арест Хованского. Видеоблогер Юрий Хованский задержан в Санкт-Петербурге, сообщил ТАСС источник в правоохранительных органах. Предположительно задержание связано с исполнением песни ""Хованский про Норд-Ост""

""Хованский задержан вчера вечером в Петербурге"", - сказал собеседник агентства.

Он добавил, что блогера задержали по уголовному делу по статье 205.2 УК РФ (""Публичные призывы к осуществлению террористической деятельности, публичное оправдание терроризма или пропаганда терроризма""). Собеседник не уточнил, в каком статусе в настоящее время находится блогер.

Юрий Хованский ведет видеоблог на платформе YouTube с 4,4 млн подписчиков.

📲Пишите в WhatsApp и Viber +7 922 800-00-65
☎Звоните по телефону +7 495 149-39-39
✉️Подписывайтесь на канал «СОЛОВЬЁВ» в Telegram - https://teleg.one/SolovievLive
📺Подписывайтесь на YouTube-канал — http://soloviev.live

Читай нас на Telegram: https://teleg.one/SolovievLive
Читай нас в Twitter https://twitter.com/VRSoloviev
Читай нас в Instagram https://www.instagram.com/vrsoloviev
Читай нас в VK https://vk.com/solovievlive",,
16,Новости,YT,Отравление Быкова. Арест Хованского. Признание ФБК экстремистами | «Что случилось?» с Любовью Соболь,"Новый выпуск еженедельной новостной программы «Что случилось?» с Любовью Соболь. 

Темы выпуска:
00:00:00 — ФБК признали «экстремистской организацией»
00:07:17 — Силовики пришли к Юрию Хованскому из-за песни
00:11:51 — Расследования об отравлении Навального и Быкова

Станьте нашим спонсором: https://youtube.com/channel/UCgxTPTFb...

Подписывайтесь на «Навальный LIVE» в соцсетях:
Твиттер: https://twitter.com/navalnylive
Инстаграм: https://www.instagram.com/navalny.live
Телеграм: https://t.me/navalnylivechannel
Фейсбук: https://www.facebook.com/navalnylive
",,
17,Новости,YT,"АРЕСТ ЮРЫ ХОВАНСКОГО ДЕТАЛИ. СОБЧАК, ТАТУ ВЗЛЕТ И ПАДЕНИЕ. КИРКОРОВ КРАПИВИНА СКАНДАЛ НА МУЗ ТВ.","ЛУЧШИЙ КОФЕ ДЛЯ СПЛЕТНИКОВ TARTUFFI ЗДЕСЬ https://tartufi.ru 

ТЕЛЕГРАМ https://t.me/antonspletni

ТВИТТЕР https://twitter.com/suvorkin

ИНСТАГРАМ https://www.instagram.com/suvorkin/


ПОМОГИТЕ ЮРИЮТУ https://instagram.com/priutpushistik

Нателла Крапивина объявила о прекращении сотрудничества с Лободой, Киркоров ответил продюсеру Лободы Нателле Крапивиной, Ксения Собчак высмеяла Юлию Волкову за незнание законов России, Блогер Хованский задержан в Петербурге, арест юрия хованского, киркоров, лобода, нателла крапивина, 


00:00 intro
00:13 Ксения Собчак, TaTu, Волкова и Катина
09:17 арест Юрия Хованского. Все детали
14:51 МузТВ Киркоров против Нателлы Крапивиной
20:16 котики
21:03 outro



ПОДДЕРЖИ СПЛЕТНИКОВ И СТАНЬ СПОНСОРОМ!

https://www.youtube.com/channel/UCpQW...

Видео на канале Собчак ТАТУ: 20 лет спустя! Главная российская группа в мире https://www.youtube.com/watch?v=b-lvH...

Сотрудничество/collaboration: norgesboy@gmail.com 

Оформить подписку на канал и стать спонсором!

https://www.youtube.com/channel/UCF1a...

-------------------------------------

ПОДПИСЫВАЙТЕСЬ!

МОЙ ВЛОГОВЫЙ КАНАЛ https://www.youtube.com/channel/UCpQW...


ПОЛУЧИ СКИДКУ €25 НА ПЕРВУЮ КВАРТИРУ AirBNB https://www.airbnb.com/c/antons5139


ПОЛУЧИ СКИДКУ 20% НА ПОКУПКУ В ЛАЙМ КРАЙМ Lime Crime https://www.talkable.com/x/39yX1A

Получи $5 скидки на секретную коробку KAWAIIBOX! https://www.kawaiibox.com?raf=ref2496925

Предыдущее видео https://youtu.be/6cj-wu3y1w0


МОЙ ИНСТАГРАМ https://www.instagram.com/suvorkin/

-------------------------------------
НЕ ЗАБЫВАЙТЕ ДЕЛИТСЯ МОИМ ВИДЕО! 
",,
18,Путешествия,RT,"Отдых в Японии | Города, природа, пейзажи, достопримечательности | Видео 4к | Япония красивые места","Отдых в Японии. Страна восходящего солнца, снятая на 4к камеру с дрона, производящего съемку с высоты птичьего полёта . Уникальная архитектура, завораживающие пейзажи и культура Японии в одном видео.

Япония расположена на 6852 – х островах в Тихом океане. У японцев существует три алфавита, которые используются одновременно. На весь мир эта страна известная своей культурой, садами с цветущей сакурой и невероятно популярными японскими анимациями – аниме. Япония больше по размерам, чем Германия и Великобритания. Здесь всегда есть на что посмотреть: маленькие провинции со своими обычаями и крупные города со своими технологиями.

Столица
Токио – огромный город с населением в 14 миллионов человек. Этот город считается одним из самых безопасных, но к туристам здесь не везде доброжелательно относятся. Некоторые кафе вывешивают таблички, гласящие, что иностранцы не обслуживаются. Ежегодно столицу Японии сотрясает примерно 150 землетрясений, но к счастью, они достаточно слабые. Токио очень дорогой город и жильё здесь может себе позволить далеко не каждый. А еще здесь находится знаменитый на весь мир памятник собаке, которая ждала своего умершего хозяина – верный Хатико.

Как добраться?
Добраться до Японии из России можно по воздуху и по воде. В крупных городах России можно сесть на прямой рейс прямо до Японии. Или можно добраться до Владивостока и на корейских паромах добраться до страны. Это не самый удобный и не самый надежный способ.

Климат
В основном в Японии умеренный морской климат, но на некоторых островах можно встретить субтропики и тропики. У японцев различают аж 6 времен года. В разных регионах страны в разные месяца происходит смена времен года. В северной части страны зимой можно встретить сугробы снега, а на юге просто слегка прохладно. Когда начинается сезон дождей – приходит лето. В начале лета погода очень пасмурная, с высокой влажностью.

Природа Японии
Неповторимая Японская природа поражает своими пейзажами. Например, популярный национальный парк Фудзи – Хаконе – Идзу откроет множество прекрасных видов, одним из главных является вид на знаменитую гору Фудзи. Каждый остров Японии как отдельный райский уголок со своей неповторимой природой. Множество горных озер, невероятных бамбуковых лесов, парков с сакурой, водопадов, термальных источников и вулканов встречаются здесь.

Основные города Японии
Самый дорогой и популярный город Японии – Токио. Столицей этот город стал относительно недавно, лишь в 1868 году. Здесь находится один из самых дорогих ресторанов во всем мире, а обычные продукты здесь гораздо дороже, чем в России. Народ этой страны не очень любит людей с татуировками, так как они характеризуются у них с чем – то криминальным. Из-за активной жизни в этом городе температура воздуха на 10 градусов больше, чем за пределами Токио.
Осака – город, в котором воздух наполнен японской культурой. В Осаке много глубоких подземных метро и невероятно высоких многоэтажек. Город знаменит замком Осака, который красиво подсвечивается по ночам. Популярное место – мост Эбису, где собирается самая стильная молодежь. В Осаке много клубов, ресторанов, ярких улиц, магазинов и много чего еще.
Центральный город острова Хонсю – Киото наполнен японскими традициями. Это огромный современный город, где можно найти всё: небоскрёбы, клубы, дорогие рестораны, а также деревянные домики, гейш, дворцы императоров и древнейшие храмы. Киото – столица чайных церемоний, живописи и скульптуры. В разных частях города множество разных достопримечательностей, так в северной части находится крупный буддистский храмовый комплекс, а в южной части – знаменитое святилище Фусими – Инари, на востоке – международный музей манги, на западе - частная вилла с огромным ландшафтным парком.

Что посмотреть?
Водопад Кэгон. Невероятно красивое место, занесенное в список наследия ЮНЕСКО. Водопад расположен в национальном парке Никко. Огромные массы воды срываются вниз с огромного обрыва. Кэгон известен не только своим великолепием, но и рядом трагических историй. Это место привлекало к себе юных японцев, которые расставались на этом обрыве со своею жизнью.
Парк Уэно. Самое популярное место весной для любования цветущей сакурой. Здесь открыто много ларьков с сувенирами в виде сакуры. Кроме этого, на территории парка есть самый старый в Японии зоопарк и целых 4 музея.
Ущелье дьявола. Несколько тысяч лет назад в этом месте произошло извержение вулканов, и до сих пор здесь серные источники издают неприятный запах. Здесь есть канатная дорога, которая поднимет на смотровую площадку, откуда открываются великолепные пейзажи. Здесь продают интересные сувениры – черные куриные яйца. А становятся они такими, после того, как их сварят в серном источнике.",https://rutube.ru/video/e4d66b6f52f50a654f0f4412e99a9616/,
19,Путешествия,RT,"Пляжи и курорты Черногории | Тиват, Будва, Бар, Луштица, Улцинь, Петровац, Сутоморе | Черногория 4к","Пляжи и курорты Черногории | Тиват, Будва, Бар, Луштица, Улцинь, Петровац, Сутоморе | Черногория 4к",https://rutube.ru/video/3a845335f79efba9826a7c958422930e/,
20,Путешествия,RT,"Путешествие на Кипр | Город Лимассол, Айя-Напа, Ларнака | Видео 4к | Кипр что посмотреть","Путешествие на Кипр. Достопримечательности, курорты, природа, пейзажи, пляжи, города, туристические места отдыха и многое другое, что мы рекомендуем посетить на Кипре. Это короткое видео, снято c дрона в 4к. Данный видео обзор познакомит вас с наиболее интересными местами отдыха. Остров Кипр - страна, которая находится в восточной части Средиземного моря. Здесь красивые места, умеренный климат, радушные люди. Мы представляем лучшие города и места отдыха, которые вам рекомендуется посмотреть, посетив эту восхитительную страну.

Кипр что посмотреть:
1. Город Айя-Напа
2. Город Лимассол
3. Город Ларнака

Если вам нравится видеоролик про Кипр, то пожалуйста, делитесь, комментируйте и подписывайтесь на наш канал, и вы поможете нам в дальнейшем производстве.

#Кипр",https://rutube.ru/video/0d27c5e0471eb8f2145fb6b6d144ff07/,
21,Путешествия,RT,Цюрих. Жизнь других. Выпуск от 30.05.2021,"Цюрих — один из крупнейших городов Швейцарии и административный центр одноименного округа. Этот город можно назвать финансовой столицей Швейцарии, ведь здесь огромное количество банков и денег. Разговаривают местные на немецком языке, так как отсюда рукой подать до Германии. Цюрих считается одним из лучших городов мира по качеству жизни. Но какую цену приходится платить за это качество?
Название:

Цюрих. Жизнь других. Выпуск от 30.05.2021

Категория:

Путешествия",https://rutube.ru/video/8c58166b0fcc1b4a6a5bdf9b9b38b50e/,
22,Путешествия,YT,20 Безумных Фактов о Японии,"По вопросам авторского права, пожалуйста, свяжитесь с нами по адресу: Copymanager.mn@gmail.com
Реклама и сотрудничество: https://vk.com/club60235938?w=page-60...

ЭльдоGAME►https://goo.gl/0JkgYs


◓МН в ВК►https://vk.com/club60235938
◓РЕКЛАМА►https://vk.com/club60235938?w=page-60...

топ самые лучшее top 5 мастерская",https://www.youtube.com/watch?v=hksqZW-1gLA,
23,Путешествия,YT,10 ЧУДЕС ЯПОНИИ !,"В этом видео собраны 10 природных чудес Японии ! 

Спасибо за просмотр , подписывайтесь на наш канал ! 

Мы в Вконтакте - http://vk.com/kotolapa",https://www.youtube.com/watch?v=4B0D71nOd58,
24,Путешествия,YT,Япония. Интересные Факты о Японии,"Япония. Интересные факты о Японии 

Вам нравится Япония? 
В этом видео узнаем интересные факты о Японии, 
самих японцах, культуре Япониии много всего другого. 

Если вам понравилось видео, можете им поделиться:) 

Приятного просмотра! 

Big Thanks to: 

Learn Japanese at 
https://www.youtube.com/user/freejapa... 

Shinji kawamura 
https://www.youtube.com/user/jg8gwx 

rcp193 
https://www.youtube.com/user/rcp193 

Kenichi Yakushiji 
https://www.youtube.com/user/KenichiY... 

darwinfish105 
https://www.youtube.com/user/darwinfi... 

Iyhon Chiu 
https://www.youtube.com/user/Iyhon/ 

Toyo Tires 
https://www.youtube.com/user/toyotires 

?? k-hosoda 
https://www.youtube.com/channel/UCySl... 

Jenya Geyn 
https://www.youtube.com/user/jeniakyn 

DenJP 
https://www.youtube.com/channel/UCPYF... 

Boris BERLIER 
https://www.youtube.com/channel/UCPDs... 

BoissonLionel 
https://www.youtube.com/channel/UC5_G...",https://www.youtube.com/watch?v=AyPANY59gHI,
25,Путешествия,YT,ТОКИО (ЯПОНИЯ) - САМЫЙ НЕОБЫЧНЫЙ ГОРОД МИРА,"Чем живет самый необычный и непонятный город мира. Чего ожидать от мегаполиса и что посмотреть в Токио, даже если у Вас на него всего 1 день. Какие интересные места здесь есть, что попробовать из еды и где это сделать. 

Какие подробности и достопримечательности Токио Вы увидите в этом видео: 
00:00 - Вступление 
01:25 - О Японии 
02:19 - Аэропорт Токио Нарита 
04:32 - Япония и японцы 
05:56 - Архитектура Токио 
07:25 - Климат и погода в Токио 
08:48 - Токио Стейшн - главный вокзал Токио 
10:48 - Императорский дворец 
12:40 - Гиндза 
15:19 - Рыбный рынок Цукидзи 
16:54 - Суши в Японии 
17:58 - Транспорт в Токио 
21:05 - Религия в Японии и главные храмы Токио 
25:03 - Сибуя. Самый оживленный перекресток в мире 
26:19 - Искусственный остров Одайба 
27:58 - Самые интересные города Японии вне Токио 
30:02 - Токио Скай Три (SkyTree) - самая высокая телебашня Японии и мира. 

Наши вебинары по Японии - это почти 4 часа полезнейших деталей, как организовать поездку в Японию самостоятельно без турагентств и посредников. 

Узнайте, как самостоятельно организовать поездку в Японию и избежать граблей, на которые наступает большинство путешественников, посмотрев наши вебинары по Японии - это почти 4 часа деталей, которые мы собрали в одном видео после 5 поездок по стране. 

Доступ к вебинарам можно оформить на этой странице: 
https://mikelle.e-autopay.com/buy/459896 

Ну а если Вы хотели бы съездить в Японию вместе с нами в минигруппе из 12 человек, запишитесь в ранний список тех, кто узнает о новом путешествии первым. 
https://ranniy-spisok.getresponsepage... 

Буду рад видеть Вас в своем инстаграме. Подписывайтесь здесь https://www.instagram.com/aleksandrch...",https://www.youtube.com/watch?v=dJBnmtlhYTg,
